总字数:26954, 共2624个单词
  序号  单词                 次数   万分比   翻译                  
   556  wall                    5        1   n. 墙壁,垣;             
   557  difference              5        1   n. 不同,差异;            
   558  full                    5        1   n. 全部,十分;a. 充满的,完全的,丰富的;ad. 完全地,整整; 
   559  effort                  5        1   n. 努力;               
   560  happy                   5        1   a. 快乐的,幸福的,愉快的;      
   561  beaches                 5        1                        
   562  low                     5        1   n. 低点,低价,低;a. 低的,消沉的,低等的;ad. 低下地,谦卑 
   563  meant                   5        1   v. 意谓,有...含意;vbl. 意谓,有...的含意; 
   564  washed                  5        1   a. 洗过的;vbl. 洗;       
   565  third                   5        1   a. 第三;               
   566  beer                    5        1   n. 啤酒;               
   567  bottle                  5        1   n. 瓶子;               
   568  waited                  5        1                        
   569  borrow                  5        1   v. 借,借入,借用;          
   570  die                     5        1   v. 死亡,消逝;            
   571  dip                     5        1                        
   572  trail                   5        1   n. 踪迹,小径,尾;v. 拖,尾随,追踪; 
   573  brothers                5        1                        
   574  bitt                    5        1   n. 缆柱;v. 将系于缆柱;      
   575  evening                 5        1   n. 傍晚,晚间,末期;         
   576  liked                   5        1   v. 喜欢;vbl. 喜欢;       
   577  find                    5        1   v. 发现,感觉到,认为;n.[计算机] DOS命令:定位和显示在文件 
   578  difficult               5        1   a. 困难的;              
   579  stick                   5        1   n. 棍,棒,刺;v. 插于,刺入,竖起; 
   580  afraid                  5        1   a. 害怕的,恐怕,遗憾;        
   581  suffering               5        1   n. 苦楚,受难;vbl. 蒙受,受苦; 
   582  kills                   5        1                        
   583  forever                 5        1   ad. 永远的,不断的;         
   584  stem                    5        1   n. 茎,船首,血统;v. 摘掉茎,产生,阻止; 
   585  anyone                  5        1   int. 任一个,谁也;         
   586  thumb                   5        1   n. 拇指;v. 以拇指拨弄,笨拙处理; 
   587  steer                   5        1   v. 引导,驾驶,航行;         
   588  death                   5        1   n. 死亡;               
   589  instead                 5        1   ad. 改为,抵作,更换;        
   590  trade                   5        1   n. 贸易,商业,交易;v. 贸易,交易,买卖; 
   591  hungry                  5        1   a. 饥饿的,荒年的,不毛的;      
   592  learn                   5        1   v. 学习,获悉,记住;         
   593  neck                    5        1   n. 脖子,衣领,颈;v. 拥抱,拥吻; 
   594  chewed                  5        1                        
   595  sweet                   5        1   n. 甜蜜,糖果,情人;a. 甜的,芳香的; 
   596  jerk                    5        1   n. 性情古怪的人,急拉,肌肉抽搐;v. 痉挛,急拉,急推; 
   597  loose                   5        1   n. 解放,放任,放纵;a. 宽松的,不牢固的,不精确的;v. 释放, 
   598  forty                   5        1   a. 四十,40;            
   599  rolled                  5        1                        
   600  turns                   5        1                        
   601  darkness                5        1   n. 黑暗                
   602  sharp                   5        1   n. 高调,婴记号,骗子;a. 锐利的,急转的,敏锐的;ad. 整,锐 
   603  lashed                  5        1                        
   604  net                     5        1   n. 网,净利,实价;a. 净余的,纯粹的;v. 用网捕,撒网,净赚; 
   605  driving                 5        1   n. 赶,操纵,驾驶;a. 推进的,强劲的,精力旺盛的;vbl. 骑; 
   606  black                   5        1   n. 黑色;a. 黑色的;        
   607  either                  5        1   a. 任一,两方的;prep. 任一,随便任一个;conj. 或,也; 
   608  yourself                5        1   pron. 你自己;           
   609  longer                  5        1   a. 比较久的;ad. 比较久;     
   610  bonito                  5        1   n. 鲣;                
   611  delicate                5        1   a. 细致优雅的,微妙的,美味的;    
   612  flesh                   5        1   n. 肉,肉欲,肉体;          
   613  hung                    5        1   vbl. 吊,挂;            
   614  also                    5        1   ad. 也,并且;            
   615  afternoon               5        1   n. 午后,下午;            
   616  coiled                  5        1                        
   617  sudden                  5        1   n. 突然,忽然;a. 突然的,快速的; 
   618  piece                   5        1   n. 块,片,篇;v. 修补,结合;   
   619  galanos                 5        1                        
   620  four                    5        1   a. 四;                
   621  tomorrow                5        1   n. 明天,未来;ad. 明天,未来地; 
   622  drink                   5        1   n. 饮料;v. 喝,喝酒;       
   623  knees                   5        1                        
   624  hear                    5        1   v. 听到,听说,听觉;         
   625  friend                  5        1   n. 朋友,支持者;           
   626  belly                   5        1   n. 腹,食欲;v. 使...鼓胀,匍匐前进; 
   627  necessary               5        1   n. 必需品,日用品;a. 必需的,必要的,必然的; 
   628  buy                     5        1   v. 买;                
   629  sack                    5        1   n. 麻布袋;              
   630  goes                    5        1                        
   631  nose                    5        1   n. 鼻子,突出部分,嗅觉;v. 嗅到; 
   632  confidence              5        1   n. 信心;               
   633  fishing                 5        1   n. 钓鱼,鱼业;a. 钓鱼的;vbl. 钓鱼; 
   634  eighty-five             4        1                        
   635  solid                   4        1   n. 固体;a. 坚硬的,稳固的;    
   636  righted                 4        1                        
   637  size                    4        1   n. 大小,尺寸,容量;         
   638  newspaper               4        1   n. 报纸;               
   639  besides                 4        1   ad. 此外;prep. 除...之外; 
   640  walked                  4        1                        
   641  live                    4        1   a. 活的,生动的,精力充沛的;v. 活,居住,过著; 
   642  room                    4        1   n. 房间,空位,场所;v. 住宿,居; 
   643  taking                  4        1   n. 取得,捕获,售得金额;a. 迷人的,可爱的,会传染的;vbl.  
   644  gained                  4        1   v. 得到,增进,获得;vbl. 得到,增进,获利; 
   645  struck                  4        1   strike的过去式(分词)       
   646  order                   4        1   n. 次序,规则,命令;v. 命令,定货; 
   647  daylight                4        1   n. 白昼,日光,破晓;a. 白昼的;  
   648  laid                    4        1   v. 放置,产,铺设;vbl. 放置,产,铺设; 
   649  plenty                  4        1   n. 充分,很多,丰富;a. 很多的,够的,丰富的; 
   650  tied                    4        1   v. 系,打结,约束;vbl. 系,打结,约束; 
   651  followed                4        1                        
   652  butt                    4        1   n. 烟头,靶,笑柄;          
   653  tension                 4        1   n. 紧张,不安,电压;         
   654  swim                    4        1   n. 游泳;v. 游泳,漂浮;      
   655  house                   4        1   n. 房子,住宅;            
   656  yesterday               4        1   n. 昨天;ad. 昨天;        
   657  shore                   4        1   n. 海岸;               
   658  yet                     4        1   ad. 仍然;conj. 然而;     
   659  colour                  4        1   n. 颜色                
   660  jerked                  4        1                        
   661  shadow                  4        1   n. 影像,阴暗,预兆;v. 遮蔽,使...忧沉,预示; 
   662  remembered              4        1                        
   663  coast                   4        1   n. 海岸,滑坡;v. 沿海岸而行;   
   664  means                   4        1   n. 方法,工具;v. 表示,意思是;  
   665  chair                   4        1   n. 椅子,席位,讲座;         
   666  sword                   4        1   n. 刀剑,战争,武力;         
   667  twice                   4        1   ad. 两次,两倍;           
   668  september               4        1                        
   669  built                   4        1   v. 建造;vbl. 建造;       
   670  further                 4        1   a. 更远的,此外的,更多的;v. 促进,增进,助长;ad. 更进一步 
   671  lurch                   4        1   n. 惨败,倾斜,举步蹒跚;v. 突然向一边倾斜; 
   672  happen                  4        1   v. 发生,发生,恰巧;         
   673  mile                    4        1   n. 哩;                
   674  trying                  4        1   vbl. 试验,尝试;          
   675  hot                     4        1   n．困境                 
   676  added                   4        1                        
   677  beach                   4        1   n. 海滩;               
   678  showing                 4        1   n. 显示，表现             
   679  furled                  4        1                        
   680  planking                4        1                        
   681  headed                  4        1                        
   682  stream                  4        1   n. 水流,人潮;v. 使流出,流动;  
   683  gunwale                 4        1   n. 『航海』舷缘,舷侧上缘       
   684  turtle                  4        1   n. 海龟;               
   685  dry                     4        1   a. 干的,无酒的,枯燥无味的;v. 把...弄干,干掉; 
   686  pressure                4        1   n. 压力,压迫;            
   687  best                    4        1   a. 最好的;ad. 最好地;      
   688  taut                    4        1   a. 拉紧的,整洁的,紧张的;      
   689  beaten                  4        1   a. 被打败了的,筋疲力竭的;vbl. 打,击; 
   690  free                    4        1   a. 自由的,大方的,免费的;v. 释放,解放;ad. 自由地,免费; 
   691  yankees                 4        1                        
   692  ice                     4        1   n. 冰,矜持;v. 冰冻,结冰;    
   693  during                  4        1   prep. 在...的时候;       
   694  gills                   4        1                        
   695  filaments               4        1                        
   696  itself                  4        1   pron. 它本身,它自己;       
   697  clubbed                 4        1   a. 棒状的;              
   698  ran                     4        1   v. 跑,跑步,延续;          
   699  excellent               4        1   a. 优良的,杰出的,出色的;      
   700  raw                     4        1   n. 生的肉,身上的痛处;a. 生的,未加工的,刺痛的; 
   701  phosphorescence         4        1   n. 磷光;               
   702  red                     4        1   n. 红色,赤字;a. 红的,红肿的,血腥的; 
   703  spring                  4        1   n. 春天,弹簧,跳跃;a. 春天的;v. 跳,裂开; 
   704  leave                   4        1   n. 许可,告别,请假;v. 离开,出发,留下  委托; 
   705  female                  4        1   n. 女性,女人,雌兽;a. 女性的,女子的; 
   706  lavender                4        1   n. 欧薄荷,薰衣草,淡紫色;      
   707  risen                   4        1   vbl. 升起,起身,上升;       
   708  sleeping                4        1   n. 睡眠;a. 睡著的;vbl. 睡觉,投宿; 
   709  rice                    4        1   n. 米,饭,稻;            
   710  sweat                   4        1   n. 汗,出汗,焦急;v. 出汗,渗出,冒出水气; 
   711  age                     4        1   n. 年龄,年老;v. 变老;      
   712  years                   4        1                        
   713  shape                   4        1   n. 形状,定形,身材;v. 定形,使...成形,塑造; 
   714  handle                  4        1   n. 柄,把手;v. 买卖,处理,操作; 
   715  confident               4        1   a. 有信心的,有把握的;        
   716  commenced               4        1                        
   717  touch                   4        1   n. 触觉,接触,少许;v. 接触,触及,感动; 
   718  jumping                 4        1                        
   719  stepped                 4        1   v. 踏,行走;vbl. 踏,行走;   
   720  broke                   4        1   a. 一文不明的;v. 打破,断掉;   
   721  wanted                  4        1                        
   722  slow                    4        1   a. 慢的,迟缓的;ad. 慢地,迟缓地; 
   723  broken                  4        1   a. 坏掉的,打破的,断掉的;vbl. 打破,弄坏; 
   724  mother                  4        1   n. 母亲,修女院长;          
   725  dentuso                 4        1                        
   726  swinging                4        1                        
   727  smelled                 4        1                        
   728  resting                 4        1                        
   729  war                     4        1   n. 战争,军事;v. 作战,打仗,战斗; 
   730  suddenly                4        1   adv. 突然地             
   731  quickly                 4        1   ad. 很快地,快的;          
   732  cast                    4        1   n. 演员阵容,投掷;v. 投,掷,抛; 
   733  catch                   4        1   n. 捕捉,陷阱,捕捉之物;v. 捕捉,了解,感染; 
   734  comfortable             4        1   a. 舒服的,轻松的;          
   735  shirt                   4        1   n. 衬衫,内衣;            
   736  opened                  4        1   a. 开路的，断开的           
   737  eaten                   4        1   vbl. 吃;              
   738  sad                     4        1   a. 忧愁的,悲哀的;          
   739  didn                    4        1                        
   740  move                    4        1   n. 移动,迁居,步骤;v. 移动,搬家,使...感动; 
   741  sat                     4        1   v. sit的过去式,过去分词,坐;vbl. 坐; 
   742  front                   4        1   n. 前面,开头,前线;v. 面对,朝向,对付; 
   743  stupid                  4        1   a. 愚蠢的,晕眩的;          
   744  blowing                 4        1                        
   745  lashing                 4        1   n. 鞭打,痛骂,叱责;         
   746  food                    4        1   n. 食物;               
   747  carry                   4        1   n. 进位,超位;v. 携带,支持,意味; 
   748  easily                  4        1   ad. 容易地,轻易地,流利地;     
   749  lower                   4        1   a. 低的,下级的,下层的;v. 降低,跌落,减弱; 
   750  santiago                4        1                        
   751  box                     4        1   n. 盒子,箱;v. 装...入盒中;  
   752  chance                  4        1   n. 机会,意外;v. 偶然发生,试试看; 
   753  eastward                4        1   n. 东方;a. 东方的,向东方的;ad. 东方地; 
   754  hurricane               4        1   n. 飓风,暴风,暴风雨;        
   755  slipped                 4        1                        
   756  drank                   4        1   v. 喝;                
   757  north                   4        1   n. 北方,北;             
   758  noon                    4        1   n. 正午,中午,午夜;         
   759  flat                    4        1   a. 平坦的,单调的,倒下的;ad. 平直地,断然地; 
   760  hills                   4        1                        
   761  greatest                4        1   a. 最好的,最伟大的;         
   762  hail                    4        1   n. 冰雹,致敬,招呼;v. 向...欢呼,致敬,招呼;int. 万岁 
   763  wild                    4        1   n. 荒野,荒地;a. 野性的,荒野的,野蛮的; 
   764  prepare                 3        1   v. 准备,预备,调配;         
   765  carcass                 3        1   n. 尸体;               
   766  virgin                  3        1   n. 处女;               
   767  pick                    3        1   n. 精选,鹤嘴锄;v. 摘,挑选,挑惕; 
   768  gold                    3        1   n. 黄金,钱财;a. 金的,金制的;  
   769  quiet                   3        1   n. 安静,闲适,平静;a. 安静的,静止的,宁静的;v. 静止,使. 
   770  sets                    3        1                        
   771  ruined                  3        1   a. 毁减的,减亡的,荒废的;      
   772  throw                   3        1   n. 投,掷,抛;v. 丢,掷,抛;   
   773  sunset                  3        1   n. 日落,晚年;            
   774  novel                   3        1   n. 小说,长篇故事;a. 新奇的,异常的; 
   775  prisms                  3        1                        
   776  young                   3        1   a. 年轻的,无经验的;         
   777  hasn                    3        1                        
   778  understand              3        1   v. 了解,领会,闻知;         
   779  steered                 3        1                        
   780  schools                 3        1   n. 学校,养成所,专科学校;v. 教,训练,锻练; 
   781  women                   3        1   n. 女人;               
   782  woman                   3        1   n. 女人,妇女,女仆;a. 女人的,女性的,妇女的; 
   783  walls                   3        1                        
   784  question                3        1   n. 问题,疑问,疑问句;v. 询问,审问,怀疑; 
   785  bought                  3        1   v. 买;vbl. 买;         
   786  thousand                3        1   a. 千,成千;             
   787  tonight                 3        1   n. 今晚,今夜;ad. 今晚,今夜;  
   788  everyone                3        1   int. 每个人,人人;         
   789  less                    3        1   n. 较少,较小;a. 少的,小的;ad. 较少,较小,不及; 
   790  became                  3        1   v. 变得;               
   791  quietly                 3        1   ad. 安静地,沉著地,稳地;      
   792  killing                 3        1   n. 谋杀,杀戮;a. 杀害的,疲惫的,迷人的;vbl. 杀害,谋杀; 
   793  watch                   3        1   n. 手表;v. 看,注视,照顾;    
   794  surely                  3        1   ad. 的确地,安全地;         
   795  anymore                 3        1                        
   796  glare                   3        1   n. 闪耀光,刺眼;v. 发眩光,瞪视; 
   797  chest                   3        1   n. 胸,胸部,衣柜;          
   798  warm                    3        1   a. 暖和的,暖的,温暖的;v. 使...温暖,弄热; 
   799  dried                   3        1   a. 弄干了的              
   800  marys                   3        1                        
   801  golden                  3        1   a. 金的,含金的,可贵的;       
   802  tiny                    3        1   a. 很少的;              
   803  bright                  3        1   a. 明亮的,聪明的;          
   804  clicking                3        1                        
   805  choice                  3        1   n. 选择,精选品;           
   806  cramps                  3        1                        
   807  quick                   3        1   a. 快的,迅速的,敏捷的;       
   808  fiction                 3        1   n. 小说,虚构的故事,法律的拟制;   
   809  keeps                   3        1                        
   810  someone                 3        1   int. 有人,某人;          
   811  neither                 3        1   a. 皆不,两不;int. 两者都不;conj. 既非,既不; 
   812  jumps                   3        1                        
   813  pass                    3        1   n. 途径,通行,及格;v. 经过,消逝,传; 
   814  islands                 3        1                        
   815  putting                 3        1                        
   816  rubbed                  3        1   v. 擦,搓,摩擦;vbl. 擦,搓,摩擦; 
   817  brings                  3        1   v. 带来(第三人称单数)        
   818  rigged                  3        1                        
   819  rather                  3        1   ad. 宁可,稍微,更正确地;      
   820  worthy                  3        1   n. 杰出人物,有价值的人,家伙;a. 有价值的,可敬的,值得的; 
   821  rudder                  3        1   n. 舵,方向舵;            
   822  blessed                 3        1   a. 受祝福的;             
   823  overboard               3        1   ad. 自船上落下,在船外;       
   824  bettors                 3        1                        
   825  usually                 3        1   ad. 通常,大抵;           
   826  chop                    3        1   n. 厚肉片,排骨;v. 剁碎,砍,切; 
   827  towing                  3        1                        
   828  skin                    3        1   n. 皮肤,无赖;v. 剥皮,长皮;   
   829  eight                   3        1   a. 八;                
   830  uncramp                 3        1                        
   831  able                    3        1   a. 能干,能够;            
   832  use                     3        1   n. 使用,习惯,价值;v. 使用,利用; 
   833  fine                    3        1   n. 罚款,罚金;a. 好的,晴朗的,健康的;v. 罚款; 
   834  floated                 3        1                        
   835  sort                    3        1   n. 种类,样子,态度;v. 分类,排序;n.[计算机] DOS命令: 
   836  friends                 3        1                        
   837  leaning                 3        1   n. 倾斜,倾向,性癖;         
   838  softly                  3        1   ad. 柔和地,静静地,温柔地;     
   839  sheath                  3        1   n. 鞘,叶鞘,翅鞘;          
   840  dangerous               3        1   a. 危险的;              
   841  wonderful               3        1   a. 令人惊奇的,奇妙的,极好的;    
   842  pieces                  3        1                        
   843  stiff                   3        1   a. 坚硬的,严厉的,呆板的;ad. 僵硬地,彻底地; 
   844  five                    3        1   a. 五;                
   845  hunger                  3        1   n. 饥饿,渴望,饥馑;v. 饿,使...饥饿,渴望; 
   846  needed                  3        1   a. 需要的;v. 需要;vbl. 需要; 
   847  themselves              3        1   pron. 他们自己,她们自己,它们自己; 
   848  money                   3        1   n. 金钱,一笔款,财富;        
   849  whole                   3        1   n. 全部,整体,完全之体系;a. 所有的,完整的,完全的; 
   850  loss                    3        1   n. 损失,遗失,失败;         
   851  leagues                 3        1                        
   852  among                   3        1   prep. 在...之中,上;      
   853  pride                   3        1   n. 自傲,自豪,自尊;v. 以...自豪; 
   854  hoped                   3        1   v. 希望;vbl. 希望;       
   855  finger                  3        1   n. 手指,指针;            
   856  spat                    3        1   n. 贝卵,蚝卵,蚝仔;v. 一巴掌打去; 
   857  clearly                 3        1   ad. 清楚地;             
   858  steal                   3        1   v. 偷;                
   859  paper                   3        1   n. 纸,文件,报纸;v. 用纸糊,贴壁纸; 
   860  rush                    3        1   n. 匆促,冲进,急流;v. 冲进,匆促行事,催; 
   861  horses                  3        1                        
   862  resolution              3        1   n. 解析度,决心,提案;        
   863  shaking                 3        1   n. 摇动,挥动;            
   864  endure                  3        1   vt. &vi.忍受；忍耐        
   865  cruel                   3        1   a. 残酷的,悲惨的;          
   866  shade                   3        1   n. 色度,荫凉处,稍微;v. 渐变,遮蔽,微减; 
   867  newspapers              3        1                        
   868  hardly                  3        1   ad. 刚刚,几乎不,勉强是;      
   869  sailing                 3        1   n. 航行,航海术,启航;        
   870  rises                   3        1                        
   871  airplane                3        1   n. 飞机;               
   872  fished                  3        1                        
   873  shaft                   3        1   n. 箭(杆); 茎; 矛(柄)     
   874  forty-fathom            3        1                        
   875  skinned                 3        1                        
   876  fathers                 3        1                        
   877  spear                   3        1   n. 矛，梭镖              
   878  speak                   3        1   v. 说,说话,演说;          
   879  slip                    3        1   n. 滑,错误,下跌;v. 滑倒,犯错,减退; 
   880  movement                3        1   n. 运动,动作,运转;         
   881  sardine                 3        1   n. 沙丁鱼               
   882  prayers                 3        1                        
   883  harder                  3        1                        
   884  taste                   3        1   n. 味道,品味,味觉;v. 尝,体会; 
   885  ship                    3        1   n. 船,舰;v. 以船运送,乘船,运送; 
   886  decided                 3        1   a. 确定的,坚决的;v. 决定;vbl. 决定; 
   887  gentle                  3        1   a. 温和的,文雅的;          
   888  patches                 3        1                        
   889  patched                 3        1                        
   890  increased               3        1   v. 增加;vbl. 增加;       
   891  backbone                3        1   n. 脊椎,志气;            
   892  poison                  3        1   n. 毒药,败坏道德之事,毒害;v. 毒害,摧毁,中毒; 
   893  noticed                 3        1                        
   894  ask                     3        1   v. 问,要求;             
   895  shifted                 3        1                        
   896  run                     3        1   n. 奔跑,路程,趋向;v. 跑,运转,进行;vbl. 跑,进行,延续 
   897  cans                    3        1                        
   898  crying                  3        1   a. 叫喊的,嚎哭的,显著的;      
   899  rise                    3        1   n. 上升,增加,小山;v. 升起,起身,上升; 
   900  play                    3        1   n. 游戏,游玩,剧本;v. 玩,参加,弹; 
   901  loosen                  3        1   v. 放松,松开,解除;         
   902  older                   3        1   a. 年长的;              
   903  wet                     3        1   n. 湿气,雨天,液体;a. 湿的,下雨的;v. 变湿,使...湿; 
   904  happened                3        1                        
   905  wrong                   3        1   a. 错误的,不正当的,失常的;ad. 错误,邪恶; 
   906  heads                   3        1                        
   907  stuff                   3        1   n. 原料,要素,东西;v. 装填,狼吞虎咽; 
   908  simple                  3        1   a. 简单的,普通的;          
   909  astern                  3        1   ad. 在船尾,向船尾;         
   910  wrapped                 3        1   v. 包装,卷,缠绕;vbl. 包装,卷,缠绕; 
   911  pectoral                3        1   a. 胸的,肺病的;n. 胸饰,遮胸,肺病药; 
   912  market                  3        1   n. 市场,交易,推销地区;v. 在市场上交易,使...上市; 
   913  outside                 3        1   n. 外面,外表,外界;a. 外面的,外表的,外界的;ad. 外面,外 
   914  attention               3        1   n. 注意,注意力;           
   915  gaining                 3        1                        
   916  brother                 3        1   n. 兄弟;               
   917  fillets                 3        1                        
   918  smoothly                3        1   ad. 平滑地,流畅地,流利地;     
   919  drifted                 3        1                        
   920  fly                     3        1   n. 苍蝇,两翼昆虫,飞行;v. 飞,飞翔,逃走; 
   921  ford                    3        1   n. 浅滩;v. 涉过,涉水;      
   922  won                     3        1   v. 嬴得,胜利;vbl. 嬴得,胜利; 
   923  pedrico                 3        1                        
   924  mountains               3        1   n. 山区，山脉             
   925  plankton                3        1   n. 浮游生物;             
   926  sit                     3        1   v. 坐,坐;              
   927  thwart                  3        1   a. 横～;v. 反对,阻碍;ad. 横过; 
   928  six                     3        1   a. 六,六个;             
   929  chewing                 3        1                        
   930  corner                  3        1   n. 角落,转角,窘境;v. 迫至一隅,使...陷入绝境; 
   931  thinking                3        1   n. 思考,思想;a. 思考的,有理性的;vbl. 想,思考; 
   932  world                   3        1   n. 世界,地球,世人;         
   933  gripped                 3        1                        
   934  punishment              3        1   n. 处罚,刑罚,惩罚;         
   935  different               3        1   a. 不同的;              
   936  months                  3        1                        
   937  noble                   3        1   n. 贵族;a. 高贵的,贵族的,辉煌的; 
   938  dorsal                  3        1   a. 背的,背部的,背侧的;       
   939  careful                 3        1   a. 小心的,谨慎的;          
   940  tiring                  3        1   a. 麻烦的,无聊的;          
   941  raised                  3        1                        
   942  intelligent             3        1   a. 聪明的,伶俐的,有才智的;     
   943  sitting                 3        1   n. 入席,就坐,开庭;vbl. 坐下; 
   944  stood                   3        1   v. 站立,忍受;vbl. 站立,忍受; 
   945  wiped                   3        1                        
   946  heel                    3        1   n. 脚后跟,踵,后部;v. 尾随,装以鞋跟; 
   947  stopped                 3        1   v. 停止,停下来;vbl. 停止,停下来; 
   948  manager                 3        1   n. 经理,管理员;           
   949  albacore                3        1   n. 青花鱼科的海产鱼;         
   950  wished                  3        1                        
   951  changed                 3        1   v. 改变,换车,兑换;vbl. 改变,换车,兑换; 
   952  doing                   3        1                        
   953  butchered               3        1                        
   954  beyond                  3        1   prep. 超过,那一边;        
   955  rowing                  3        1   n. 划;                
   956  teeth                   3        1   n. 牙齿;               
   957  wife                    3        1   n. 妻子,太太,内人;         
   958  slanting                3        1   adj. 歪的，倾斜的          
   959  force                   3        1   n. 力量,武力,影响力;v. 强迫,强夺,加压力; 
   960  sell                    3        1   v. 卖,背叛,销售;          
   961  depth                   3        1   n. 深度,深处;            
   962  sound                   3        1   n. 声音,吵闹,海峡;a. 健全的,可靠的,合理的;v. 听,发出声 
   963  sent                    3        1   v. 送,寄出;vbl. 送,寄出;   
   964  match                   3        1   n. 比赛,火柴,对手;v. 使...相配,与...竞争,相配; 
   965  slowed                  2        0                        
   966  anchored                2        0                        
   967  brooklyn                2        0                        
   968  devise                  2        0   v. 设计;               
   969  eighty-seven            2        0                        
   970  flight                  2        0   n. 飞行,逃走,飞跃;         
   971  hang                    2        0   n. 悬挂,诀窍,意义;v. 悬挂,附着,踌躇; 
   972  fearless                2        0   a. 大胆的,勇敢的,无畏的;      
   973  sargasso                2        0   n. 马尾藻类海草;           
   974  feeding                 2        0   n. 饲养,吃,输送;a. 逐渐强烈的,供给饲料的,摄取食物的; 
   975  j                       2        0                        
   976  destroyed               2        0                        
   977  s                       2        0                        
   978  returned                2        0   a. 被送回的,归来的;v. 回,复原,退还;vbl. 回复,退还,归 
   979  sharply                 2        0   ad. 锐利地,严厉地,厉害地;     
   980  empty                   2        0   n. 空的东西,空物;a. 空的,空虚的,空腹的;v. 倒空,使... 
   981  sand                    2        0   n. 砂,沙滩;v. 撒沙,以沙掩盖;  
   982  tails                   2        0                        
   983  cleared                 2        0   vbl. 清除的;            
   984  sank                    2        0   n. 洗物槽;v.sink的过去式,沉落,下沉,降低; 
   985  iridescent              2        0   adj. 彩虹的             
   986  cheek                   2        0   n. 颊,厚颜;             
   987  pocket                  2        0   n. 口袋,钱,袋;v. 装...在口袋里,隐藏,私吞; 
   988  bleeding                2        0   n. 出血,流血;            
   989  considered              2        0   a. 考虑过的,被尊重的;v. 考虑,思考,熟虑;vbl. 考虑; 
   990  docks                   2        0                        
   991  flow                    2        0   n. 流程,流动,涨潮;v. 流动,流泄,畅流; 
   992  timid                   2        0   a. 胆小的,羞怯的;          
   993  phosphorescent          2        0   a. 发出磷光的,磷光性的;       
   994  bringing                2        0                        
   995  crazy                   2        0   a. 发狂的,狂热的;          
   996  gut                     2        0   n. 勇气,肠,剧情;          
   997  save                    2        0   n. 救援,救球,节约;v. 解救,保存,节省;prep. 除...之 
   998  smelling                2        0                        
   999  mechanically            2        0   ad. 机械地; 无意识地        
  1000  picture                 2        0   n. 图画,照片,景色;v. 画,描写,想像; 
  1001  names                   2        0                        
  1002  tide                    2        0   n. 潮,趋势,潮流;v. 渡过,随潮漂流,克服; 
  1003  measuring               2        0   vbl. 测量;             
  1004  pray                    2        0   v. 祈祷,恳求,请;          
  1005  pig                     2        0   n. 猪,贪婪的人;           
  1006  biggest                 2        0   a. 大的,长大的;           
  1007  whether                 2        0   conj. 是否,不论;         
  1008  coral                   2        0   n. 珊瑚,珊瑚色;           
  1009  raise                   2        0   n. 上升,高地,增高;v. 升起,举起,饲养; 
  1010  west                    2        0   n. 西方,西部;a. 西方的,向西的;ad. 向西; 
  1011  spoon                   2        0   n. 匙,匙形的铲子;v. 以匙舀起,调情; 
  1012  jammed                  2        0                        
  1013  snapped                 2        0                        
  1014  unclear                 2        0   a. 不易了解的,不清楚的,含混的;   
  1015  manolin                 2        0                        
  1016  floor                   2        0   n. 地板,楼层,底部;v. 铺地板,打倒; 
  1017  kicked                  2        0                        
  1018  italian                 2        0                        
  1019  cry                     2        0   n. 叫声,哭声,大叫;v. 哭,叫,喊; 
  1020  opening                 2        0   n. 开始,口,揭幕;vbl. 打开,开放,开始; 
  1021  pillow                  2        0   n. 枕头;v. 作...的枕头,枕于; 
  1022  pity                    2        0   n. 遗憾,同情,可惜;v. 同情,怜悯; 
  1023  unleashed               2        0                        
  1024  drift                   2        0   n. 漂流物,观望,漂流;v. 漂流;  
  1025  pack                    2        0   n. 包裹,一群,一副;v. 包装,捆扎,塞满; 
  1026  thirty                  2        0   a. 三十;               
  1027  sunrise                 2        0   n. 日出,黎明,拂晓;         
  1028  probably                2        0   ad. 大概,或许;           
  1029  dollars                 2        0                        
  1030  weighed                 2        0                        
  1031  hitting                 2        0                        
  1032  prize                   2        0   n. 奖,奖品,战利品;v. 珍视,捕获; 
  1033  pot                     2        0   n. 盆,罐,壶;v. 装入盆中,在锅中煮,近距离射击; 
  1034  worried                 2        0   a. 闷闷不乐的;            
  1035  christ                  2        0                        
  1036  replaced                2        0                        
  1037  thigh                   2        0   n. 腿;                
  1038  shook                   2        0   v. 摇动;               
  1039  cramping                2        0                        
  1040  hat                     2        0   n. 帽子;v. 戴帽子;        
  1041  given                   2        0   a. 赠予的,沉溺的,约定的;vbl. 给与; 
  1042  glass                   2        0   n. 玻璃,玻璃杯;           
  1043  reflection              2        0   n. 反映,沉思,映像;         
  1044  wash                    2        0   n. 洗,洗濯;v. 洗,洗涤,洗清;  
  1045  cheerful                2        0   a. 快活的,高兴的,兴高采烈;     
  1046  playing                 2        0                        
  1047  asking                  2        0   n. 问,寻问,请求;vbl. 问,要求; 
  1048  weapon                  2        0   n. 武器,兵器;            
  1049  cumulus                 2        0   n. 积云,堆积;            
  1050  ends                    2        0                        
  1051  painful                 2        0   a. 痛苦的,困难的,令人烦恼的;    
  1052  supper                  2        0   n. 晚餐;               
  1053  paid                    2        0   v. 支付,付清,报偿;vbl. 支付,付清,报偿; 
  1054  palm                    2        0   n. 手掌,棕榈,胜利;v. 藏...于掌中; 
  1055  circles                 2        0                        
